SC_ind,PrizeValue,Contestant,Spin1,Spin2,Total,ev1,Comments,Showcase,urlParam,ev2,ev3,ev4
1,"1,340",Maurice,85,0,85,,C:,SS1,9782K,,,
2,"8,531",Kim,1,0,1,50.0,C: Bonus Spin ►,SS1,9782K,,,
3,"25,760",Sandra,20,50,70,,C:,SS1,9782K,,,
1,670,Nykiah,95,0,95,,C:,SS2,9782K,,,
2,"3,447",Ryan,30,70,1,5.0,"C: Bonus Spin ► 10,000 Bonus",SS2,9782K,,,
3,"9,690",Feras,95,30,125,,C:,SS2,9782K,,,
1,898,Jessica,10,75,85,,C:,SS1,9781K,,,
2,"2,050",Danny,20,75,95,,C: Through to the Showcases,SS1,9781K,,,
3,"22,223",Simone,85,5,90,,C:,SS1,9781K,,,
1,750,Ruby,1,0,1,80.0,C: Bonus Spin >,SS2,9781K,,,
2,"8,173",Douglas,75,55,130,,C:,SS2,9781K,,,
3,"9,168",Rachel,70,1,71,,C:,SS2,9781K,,,
1,"1,523",Heather,10,65,75,,C: Through to the Showcases,SS1,9775K,,,
2,"8,263",Grant,5,5,10,,C:,SS1,9775K,,,
3,"13,479",Ester,10,30,40,,C:,SS1,9775K,,,
1,"9,124",Rylan,35,90,125,,C:,SS2,9775K,,,
2,"15,034",Justin,35,55,90,,C: Through to the Showcases,SS2,9775K,,,
3,"26,303",Alice,55,30,85,,C:,SS2,9775K,,,
1,"1,021",Katrina,75,0,75,,C: Through to the Showcases,SS1,9774K,,,
2,"1,436",Gilbert,40,30,70,,C:,SS1,9774K,,,
3,"3,138",Lorrie,40,1,41,,C:,SS1,9774K,,,
1,823,John,20,20,40,,C:,SS2,9774K,,,
2,"2,928",Desiree,85,0,85,,C: Through to the Showcases,SS2,9774K,,,
3,"9,592",Victoria,55,55,110,,C:,SS2,9774K,,,
1,"1,250",Joseph,80,0,80,,C:,SS1,9773K,,,
2,"4,800",Lusine,95,0,95,,C: Through to the Showcases,SS1,9773K,,,
3,"9,084",Stephen,30,25,55,,C:,SS1,9773K,,,
1,"1,522",Katrina,55,0,55,,C:,SS2,9773K,,,
2,"2,039",Eduardo,75,0,75,,C: Through to the Showcases,SS2,9773K,,,
3,"3,089",Lucille,10,1,11,,C:,SS2,9773K,,,
1,"6,639",Mark,90,0,90,,C: Through to the Showcases,SS1,9772K,,,
2,"10,533",Gregory,30,30,60,,C:,SS1,9772K,,,
3,"22,381",Veronica,75,90,165,,C:,SS1,9772K,,,
1,"3,495",Latasha,80,0,80,,C:,SS2,9772K,,,
2,"7,615",Elora,20,50,70,,C:,SS2,9772K,,,
3,"8,273",Jasmin,15,85,1,85.0,C: Bonus Spin ►,SS2,9772K,,,
1,"1,509",Bryan,15,35,50,,C:,SS1,9771K,,,
2,"10,275",Lawonda,35,75,110,,C:,SS1,9771K,,,
3,"23,074",Stephanie,30,60,90,,C: Through to the Showcases,SS1,9771K,,,
1,"2,463",Keith,20,75,95,,C: Through to the Showcases,SS2,9771K,,,
2,"9,450",Emmea,10,80,90,,C:,SS2,9771K,,,
3,"11,323",Anita,75,55,130,,C:,SS2,9771K,,,
2,"1,700",Christy,85,0,85,90.0,C: Through to the Showcases,SS1,9763K,,,
3,"2,490",Ryan,5,30,35,,C:,SS1,9763K,,,
4,"6,688",Carol,25,60,85,20.0,C:,SS1,9763K,,,
2,627,Vanessa,10,85,95,95.0,C: Through to the Showcases,SS2,9763K,85.0,,
3,"2,486",Reynaldo,95,0,95,75.0,C:,SS2,9763K,,,
4,"16,680",Ayesha,95,0,95,95.0,C:,SS2,9763K,45.0,,
1,"1,415",Fexilina,35,95,130,,C:,SS1,9762K,,,
2,"8,318",Jerry,70,0,70,,C: Through to the Showcases,SS1,9762K,,,
3,"10,917",Jordan,60,85,145,,C:,SS1,9762K,,,
1,"1,140",Denise,40,30,70,,C:,SS2,9762K,,,
2,"8,536",Ebony,25,80,105,,C:,SS2,9762K,,,
3,"13,856",Kimberly,45,55,1,5.0,"C: Bonus Spin ► 10,000 Bonus",SS2,9762K,,,
1,"4,239",Zachary,75,0,75,,C:,SS1,9761K,,,
2,"24,555",Shaun,20,20,40,,C:,SS1,9761K,,,
3,"25,564",Abigail,95,0,95,,C: Through to the Showcases,SS1,9761K,,,
1,632,Myeisha,10,10,20,,C:,SS2,9761K,,,
2,"2,637.02",Blake,45,0,45,,C:,SS2,9761K,,,
3,"6,248.00",Nicholas,75,0,75,,C: Through to the Showcases,SS2,9761K,,,
1,730,Matthew,45,95,140,,C:,SS1,9755K,,,
2,"1,249",Cheryl,75,0,75,,C:,SS1,9755K,,,
3,"1,700",Kristen,85,0,85,,C: Through to the Showcases,SS1,9755K,,,
1,"4,848",Jaime,1,0,1,45.0,C: Bonus Spin ►,SS2,9755K,,,
2,"15,525",Michael,75,10,85,,C:,SS2,9755K,,,
3,"18,987",Jennifer,60,30,90,,C:,SS2,9755K,,,
1,645,Martin,10,40,50,,C:,SS1,9754K,,,
2,"7,420",Ryan,70,0,70,,C: Through to the Showcases,SS1,9754K,,,
3,"10,470",Shelly,30,30,60,,C:,SS1,9754K,,,
1,"1,523",Luann,80,0,80,,C: Through to the Showcases,SS2,9754K,,,
2,"9,598",Stephanie,30,80,110,,C:,SS2,9754K,,,
3,"28,860",Shelsea,65,40,105,,C:,SS2,9754K,,,
1,949,L'tanya,75,0,75,,C:,SS1,9753K,,,
2,"1,740",Matthew,55,95,150,,C:,SS1,9753K,,,
3,"10,463",Chandra,5,85,90,,C: Through to the Showcases,SS1,9753K,,,
2,"1,939",Vincent,15,80,95,45.0,C:,SS2,9753K,,,
3,"6,425",Raynetta,50,45,95,60.0,C: Through to the Showcases,SS2,9753K,,,
4,"10,863",Brenda,10,65,75,,C:,SS2,9753K,,,
1,800,Pamela,30,75,105,,C:,SS1,9752K,,,
2,"1,410",Michael,65,0,65,,C:,SS1,9752K,,,
3,"2,198",Scott,55,35,90,,C: Through to the Showcases,SS1,9752K,,,
1,639,Harper,95,0,95,,C: Through to the Showcases,SS2,9752K,,,
2,"1,692",Leah,40,40,80,,C:,SS2,9752K,,,
3,"12,802",Ian,70,85,155,,C:,SS2,9752K,,,
1,"1,795",Kristin,85,0,85,,C: Through to the Showcases,SS1,9751K,,,
2,"12,843",William,65,90,155,,C:,SS1,9751K,,,
3,"30,354",Cheyenne,55,70,125,,C:,SS1,9751K,,,
1,"1,300",Pauline,80,0,80,,C: Through to the Showcases,SS2,9751K,,,
2,"7,902",Luis,65,55,120,,C:,SS2,9751K,,,
1,"8,283",Priscilla,75,0,75,,C:,SS1,9745K,,,
2,"8,327",James,30,65,95,,C: Through to the Showcases,SS1,9745K,,,
3,"22,067",Melissa,55,60,115,,C:,SS1,9745K,,,
1,"1,100",William,10,70,80,,C: Through to the Showcases,SS2,9745K,,,
2,"9,859",Yvette,55,15,70,,C:,SS2,9745K,,,
3,"27,030",Julie,70,50,120,,C:,SS2,9745K,,,
1,900,Dolores,15,35,50,,C: Through to the Showcases,SS1,9744K,,,
2,"1,327",Destiny,40,65,105,,C:,SS1,9744K,,,
3,"1,783",Michael,45,85,130,,C:,SS1,9744K,,,
2,"1,090",Monique,75,0,75,,C:,SS2,9744K,,,
3,"1,939",Stephanie,85,0,85,85.0,C: Through to the Showcases,SS2,9744K,,,
4,"2,400",Angelica,25,60,85,25.0,C:,SS2,9744K,,,
2,520,Alicia,75,0,75,65.0,C:,SS1,9743K,,,
3,600,Eunice,25,50,75,95.0,C: Through to the Showcases,SS1,9743K,,,
4,"8,518",Max,30,20,50,,C:,SS1,9743K,,,
1,"1,124",Amanda,55,65,120,,C:,SS2,9743K,,,
2,"2,157",Frances,25,20,45,,C:,SS2,9743K,,,
3,"11,541",Charity,20,80,1,5.0,"C: Bonus Spin ► 10,000 Bonus",SS2,9743K,,,
1,827,Victor,5,1,6,,C:,SS1,9742K,,,
2,"1,205",Kim,10,50,60,,C:,SS1,9742K,,,
3,"7,941",Michaela,25,60,85,,C: Through to the Showcases,SS1,9742K,,,
1,"1,007",Matthew,1,0,1,45.0,C: Bonus Spin ►,SS2,9742K,,,
2,"1,544",Kendra,50,80,130,,C:,SS2,9742K,,,
3,"26,484",Steven,40,65,105,,C:,SS2,9742K,,,
1,"1,700",Linda,15,80,95,,C: Through to the Showcases,SS1,9741K,,,
